row_index,base_value,predicted_value,model_prediction,additive_consistent,feature_name,feature_value,shap_value,direction
3,18.887224,20.59038595487976,20.58316421508789,True,demand_lag_7,19.0,-1.999523639678955,negative
3,18.887224,20.59038595487976,20.58316421508789,True,demand_rolling_mean_28,22.071428571428573,-0.6380318999290466,negative
3,18.887224,20.59038595487976,20.58316421508789,True,week_sin,0.9350162426854148,-0.4181153178215027,negative
3,18.887224,20.59038595487976,20.58316421508789,True,price_to_cost_markup,1.6334782608695653,-0.3593819737434387,negative
3,18.887224,20.59038595487976,20.58316421508789,True,price_deviation_rolling_28,2.557499999999976,-0.26140278577804565,negative
3,18.887224,20.59038595487976,20.58316421508789,True,week_cos,-0.35460488704253545,-0.1924927979707718,negative
3,18.887224,20.59038595487976,20.58316421508789,True,demand_rolling_mean_7,19.142857142857142,-0.19126339256763458,negative
3,18.887224,20.59038595487976,20.58316421508789,True,demand_rolling_std_7,4.450789122113598,-0.13601213693618774,negative
3,18.887224,20.59038595487976,20.58316421508789,True,revenue_lag_7,2906.62,-0.12810035049915314,negative
3,18.887224,20.59038595487976,20.58316421508789,True,demand_rolling_std_28,5.4155371227646745,-0.12562254071235657,negative
4,18.887224,38.33516673376465,38.32793426513672,True,demand_lag_7,41.0,8.78076171875,positive
4,18.887224,38.33516673376465,38.32793426513672,True,demand_lag_14,39.0,5.043901443481445,positive
4,18.887224,38.33516673376465,38.32793426513672,True,demand_lag_28,47.0,4.850523471832275,positive
4,18.887224,38.33516673376465,38.32793426513672,True,log_price,4.234975691961846,1.4357839822769165,positive
4,18.887224,38.33516673376465,38.32793426513672,True,price_to_cost_markup,1.43875,0.6633262634277344,positive
4,18.887224,38.33516673376465,38.32793426513672,True,day_of_week,3.0,0.4916093051433563,positive
4,18.887224,38.33516673376465,38.32793426513672,True,price_lag_1,64.92,0.4662012457847595,positive
4,18.887224,38.33516673376465,38.32793426513672,True,day,2.0,0.22477111220359802,positive
4,18.887224,38.33516673376465,38.32793426513672,True,inventory_lag_1,688.0,0.20353083312511444,positive
4,18.887224,38.33516673376465,38.32793426513672,True,demand_rolling_mean_14,35.785714285714285,0.1750415563583374,positive
4,18.887224,38.33516673376465,38.32793426513672,True,demand_rolling_mean_28,37.142857142857146,-0.8020676374435425,negative
4,18.887224,38.33516673376465,38.32793426513672,True,demand_rolling_mean_7,34.42857142857143,-0.730144202709198,negative
4,18.887224,38.33516673376465,38.32793426513672,True,week_sin,0.992708874098054,-0.6944355964660645,negative
4,18.887224,38.33516673376465,38.32793426513672,True,month_sin,0.8660254037844387,-0.16839277744293213,negative
4,18.887224,38.33516673376465,38.32793426513672,True,demand_rolling_max_7,41.0,-0.1628812551498413,negative
4,18.887224,38.33516673376465,38.32793426513672,True,price_lag_14,67.87,-0.14070110023021698,negative
4,18.887224,38.33516673376465,38.32793426513672,True,price_rolling_mean_28,66.11392857142857,-0.12200487405061722,negative
4,18.887224,38.33516673376465,38.32793426513672,True,day_of_year,92.0,-0.1214241236448288,negative
4,18.887224,38.33516673376465,38.32793426513672,True,price_deviation_rolling_28,2.946071428571429,-0.11956391483545303,negative
